順位	選手名	チーム名	年齢	打率	試合数	打席	打数	得点	安打	二塁打	三塁打	本塁打	塁打	打点	盗塁	盗塁死	盗塁成功率	犠打	犠飛	四球	死球	三振	併殺打	出塁率	長打率	OPS
1	R.ローズ	横浜	32	.369	134	597	521	93	192	34	2	37	341	153	3	1	.750	0	6	63	7	81	19	.439	.655	1.093
2	関川浩一	中日	30	.330	135	591	522	74	172	28	6	4	224	60	20	11	.645	11	8	48	2	73	6	.383	.429	.812
3	鈴木尚典	横浜	27	.328	134	613	542	110	178	31	6	17	272	92	7	4	.636	1	6	57	7	109	10	.395	.502	.897
4	R.ペタジーニ	ヤクルト	28	.325	134	576	452	97	147	23	2	44	306	112	10	1	.909	0	1	116	7	91	13	.469	.677	1.146
5	高橋由伸	巨人	24	.315	118	505	454	71	143	18	2	34	267	98	3	3	.500	2	2	39	8	96	3	.378	.588	.966
6	真中満	ヤクルト	28	.308	133	574	516	71	159	33	2	7	217	46	8	6	.571	7	3	46	2	38	4	.365	.421	.786
7	緒方孝市	広島	31	.305	132	592	495	111	151	23	3	36	288	69	18	12	.600	2	2	86	7	76	6	.414	.582	.995
8	坪井智哉	阪神	25	.3038	134	583	530	75	161	30	1	5	208	43	6	10	.375	1	2	43	7	90	5	.363	.392	.755
9	松井秀喜	巨人	25	.3036	135	573	471	100	143	24	2	42	297	95	0	4	.000	0	6	93	2	99	3	.416	.631	1.047
10	矢野輝弘	阪神	31	.3035	113	418	369	39	112	13	2	3	138	27	5	2	.714	6	2	36	5	74	14	.371	.374	.745
11	古田敦也	ヤクルト	34	.302	128	548	483	79	146	26	2	13	215	71	10	3	.769	4	7	51	3	41	8	.368	.445	.813
12	前田智徳	広島	28	.301	108	428	392	53	118	17	0	12	171	65	1	1	.500	2	5	25	4	36	8	.345	.436	.781
13	仁志敏久	巨人	28	.2980	127	560	510	79	152	28	4	9	215	42	18	8	.692	9	2	39	0	72	6	.347	.422	.768
14	波留敏夫	横浜	29	.29754	130	609	568	95	169	31	5	15	255	70	21	5	.808	14	1	21	5	80	11	.328	.449	.777
15	L.ゴメス	中日	33	.297	133	560	474	84	141	19	1	36	270	109	4	1	.800	0	9	70	7	59	15	.389	.570	.959
