【一塁手】,試合,刺殺,補殺,失策,併殺,捕逸,守備率,列9,球団,成績種別
【二塁手】,,,,,,,,,読売ジャイアンツ,守備成績
【三塁手】,,,,,,,,,読売ジャイアンツ,守備成績
【遊撃手】,,,,,,,,,読売ジャイアンツ,守備成績
【外野手】,,,,,,,,,読売ジャイアンツ,守備成績
【捕手】,,,,,,,,,読売ジャイアンツ,守備成績
【投手】,,,,,,,,,読売ジャイアンツ,守備成績
*,井上　温大,25,6,12,0,1,,1.000,読売ジャイアンツ,守備成績
*,今村　信貴,7,0,0,0,0,,.000,読売ジャイアンツ,守備成績
*,大江　竜聖,16,0,2,1,0,,.667,読売ジャイアンツ,守備成績
*,グリフィン,20,2,17,0,1,,1.000,読売ジャイアンツ,守備成績
*,高梨　雄平,51,2,13,1,1,,.938,読売ジャイアンツ,守備成績
*,中川　皓太,15,2,2,0,0,,1.000,読売ジャイアンツ,守備成績
*,バルドナード,58,0,4,1,0,,.800,読売ジャイアンツ,守備成績
*,又木　鉄平,3,0,2,0,0,,1.000,読売ジャイアンツ,守備成績
*,メンデス,2,0,2,1,0,,.667,読売ジャイアンツ,守備成績
*,横川　凱,12,3,7,1,1,,.909,読売ジャイアンツ,守備成績
読売ジャイアンツ||,公式戦(セ・リーグ),：,個人打撃|,個人投手|,チーム守備|,,,,読売ジャイアンツ,守備成績
CS(ファイナルS),：,個人打撃|,個人投手|,個人守備|,,,,,読売ジャイアンツ,守備成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,読売ジャイアンツ,守備成績
【二塁手】,,,,,,,,,阪神タイガース,守備成績
【三塁手】,,,,,,,,,阪神タイガース,守備成績
【遊撃手】,,,,,,,,,阪神タイガース,守備成績
【外野手】,,,,,,,,,阪神タイガース,守備成績
*,近本　光司,141,294,6,4,2,,.987,阪神タイガース,守備成績
*,前川　右京,93,142,3,1,0,,.993,阪神タイガース,守備成績
【捕手】,,,,,,,,,阪神タイガース,守備成績
【投手】,,,,,,,,,阪神タイガース,守備成績
*,伊藤　将司,18,4,14,0,0,,1.000,阪神タイガース,守備成績
*,岩崎　優,60,2,6,0,1,,1.000,阪神タイガース,守備成績
*,岩貞　祐太,2,0,2,0,0,,1.000,阪神タイガース,守備成績
*,大竹　耕太郎,24,8,31,0,2,,1.000,阪神タイガース,守備成績
*,及川　雅貴,9,1,5,0,0,,1.000,阪神タイガース,守備成績
*,川原　陸,1,0,0,0,0,,.000,阪神タイガース,守備成績
*,桐敷　拓馬,70,6,13,0,0,,1.000,阪神タイガース,守備成績
*,島本　浩也,33,1,4,0,0,,1.000,阪神タイガース,守備成績
*,髙橋　遥人,5,1,4,0,2,,1.000,阪神タイガース,守備成績
*,富田　蓮,33,3,5,1,0,,.889,阪神タイガース,守備成績
*,門別　啓人,5,1,0,0,0,,1.000,阪神タイガース,守備成績
阪神タイガース||,公式戦(セ・リーグ),：,個人打撃|,個人投手|,チーム守備|,,,,阪神タイガース,守備成績
CS(ファーストS),：,個人打撃|,個人投手|,個人守備|,,,,,阪神タイガース,守備成績
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,阪神タイガース,守備成績
【二塁手】,,,,,,,,,横浜DeNAベイスターズ,守備成績
【三塁手】,,,,,,,,,横浜DeNAベイスターズ,守備成績
【遊撃手】,,,,,,,,,横浜DeNAベイスターズ,守備成績
【外野手】,,,,,,,,,横浜DeNAベイスターズ,守備成績
*,関根　大気,72,80,4,1,0,,.988,横浜DeNAベイスターズ,守備成績
【捕手】,,,,,,,,,横浜DeNAベイスターズ,守備成績
【投手】,,,,,,,,,横浜DeNAベイスターズ,守備成績
*,東　克樹,26,12,34,1,1,,.979,横浜DeNAベイスターズ,守備成績
*,石川　達也,15,1,3,0,0,,1.000,横浜DeNAベイスターズ,守備成績
*,石田　健大,6,3,5,0,0,,1.000,横浜DeNAベイスターズ,守備成績
*,ケイ,24,6,26,1,2,,.970,横浜DeNAベイスターズ,守備成績
*,坂本　裕哉,48,0,9,1,1,,.900,横浜DeNAベイスターズ,守備成績
*,ディアス,7,0,1,0,0,,1.000,横浜DeNAベイスターズ,守備成績
*,濵口　遥大,11,4,11,4,1,,.789,横浜DeNAベイスターズ,守備成績
*,松本　隆之介,1,0,1,0,0,,1.000,横浜DeNAベイスターズ,守備成績
横浜DeNAベイスターズ||,公式戦(セ・リーグ),：,個人打撃|,個人投手|,チーム守備|,,,,横浜DeNAベイスターズ,守備成績
CS(ファーストS),：,個人打撃|,個人投手|,個人守備|,,,,,横浜DeNAベイスターズ,守備成績
CS(ファイナルS),：,個人打撃|,個人投手|,個人守備|,,,,,横浜DeNAベイスターズ,守備成績
日本シリーズ,：,個人打撃|,個人投手|,個人守備|,,,,,横浜DeNAベイスターズ,守備成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,横浜DeNAベイスターズ,守備成績
ファーム選手権,：,個人打撃|,個人投手|,個人守備|,,,,,横浜DeNAベイスターズ,守備成績
【二塁手】,,,,,,,,,広島東洋カープ,守備成績
【三塁手】,,,,,,,,,広島東洋カープ,守備成績
【遊撃手】,,,,,,,,,広島東洋カープ,守備成績
【外野手】,,,,,,,,,広島東洋カープ,守備成績
*,田村　俊介,27,36,2,1,0,,.974,広島東洋カープ,守備成績
【捕手】,,,,,,,,,広島東洋カープ,守備成績
【投手】,,,,,,,,,広島東洋カープ,守備成績
*,黒原　拓未,53,1,13,1,0,,.933,広島東洋カープ,守備成績
*,髙　太一,1,0,2,0,0,,1.000,広島東洋カープ,守備成績
*,高橋　昂也,1,0,0,0,0,,.000,広島東洋カープ,守備成績
*,滝田　一希,1,0,0,0,0,,.000,広島東洋カープ,守備成績
*,玉村　昇悟,15,1,12,0,2,,1.000,広島東洋カープ,守備成績
*,床田　寛樹,26,11,34,2,4,,.957,広島東洋カープ,守備成績
*,ハーン,35,2,3,1,0,,.833,広島東洋カープ,守備成績
*,長谷部　銀次,5,0,0,0,0,,.000,広島東洋カープ,守備成績
*,塹江　敦哉,53,5,5,0,0,,1.000,広島東洋カープ,守備成績
*,森　翔平,5,3,10,0,0,,1.000,広島東洋カープ,守備成績
*,森浦　大輔,53,3,6,0,0,,1.000,広島東洋カープ,守備成績
広島東洋カープ||,公式戦(セ・リーグ),：,個人打撃|,個人投手|,チーム守備|,,,,広島東洋カープ,守備成績
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,広島東洋カープ,守備成績
【二塁手】,,,,,,,,,東京ヤクルトスワローズ,守備成績
【三塁手】,,,,,,,,,東京ヤクルトスワローズ,守備成績
【遊撃手】,,,,,,,,,東京ヤクルトスワローズ,守備成績
【外野手】,,,,,,,,,東京ヤクルトスワローズ,守備成績
*,岩田　幸宏,70,112,3,0,0,,1.000,東京ヤクルトスワローズ,守備成績
*,澤井　廉,8,10,0,0,0,,1.000,東京ヤクルトスワローズ,守備成績
*,丸山　和郁,93,144,4,3,1,,.980,東京ヤクルトスワローズ,守備成績
*,山崎　晃大朗,21,27,0,1,0,,.964,東京ヤクルトスワローズ,守備成績
【捕手】,,,,,,,,,東京ヤクルトスワローズ,守備成績
【投手】,,,,,,,,,東京ヤクルトスワローズ,守備成績
*,石川　雅規,9,2,6,1,1,,.889,東京ヤクルトスワローズ,守備成績
*,石原　勇輝,1,0,0,0,0,,.000,東京ヤクルトスワローズ,守備成績
*,嘉弥真　新也,9,0,3,0,1,,1.000,東京ヤクルトスワローズ,守備成績
*,高橋　奎二,21,4,14,0,2,,1.000,東京ヤクルトスワローズ,守備成績
*,田口　麗斗,41,1,4,1,1,,.833,東京ヤクルトスワローズ,守備成績
*,長谷川　宙輝,19,1,2,0,0,,1.000,東京ヤクルトスワローズ,守備成績
*,山野　太一,14,1,8,1,0,,.900,東京ヤクルトスワローズ,守備成績
*,山本　大貴,44,1,4,0,0,,1.000,東京ヤクルトスワローズ,守備成績
東京ヤクルトスワローズ||,公式戦(セ・リーグ),：,個人打撃|,個人投手|,チーム守備|,,,,東京ヤクルトスワローズ,守備成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,東京ヤクルトスワローズ,守備成績
【二塁手】,,,,,,,,,中日ドラゴンズ,守備成績
【三塁手】,,,,,,,,,中日ドラゴンズ,守備成績
【遊撃手】,,,,,,,,,中日ドラゴンズ,守備成績
【外野手】,,,,,,,,,中日ドラゴンズ,守備成績
