,選　手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率,球団,成績種別
*,秋広　優人,5,8,7,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.143,.143,.250,読売ジャイアンツ,打撃成績
*,荒巻　悠,22,50,43,1,13,0,0,1,16,1,0,2,0,0,7,0,0,12,0,.302,.372,.400,読売ジャイアンツ,打撃成績
*,泉口　友汰,80,343,305,31,86,12,0,4,110,19,4,4,6,1,29,1,2,41,4,.282,.361,.347,読売ジャイアンツ,打撃成績
*,井上　温大,15,24,23,1,2,0,0,0,2,1,0,0,1,0,0,0,0,13,0,.087,.087,.087,読売ジャイアンツ,打撃成績
*,浦田　俊輔,8,11,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,.091,.091,.091,読売ジャイアンツ,打撃成績
*,大城　卓三,33,67,64,4,9,1,0,3,19,7,0,0,0,0,3,1,0,22,2,.141,.297,.179,読売ジャイアンツ,打撃成績
*,岡田　悠希,7,15,14,1,2,1,0,0,3,2,0,0,0,0,1,0,0,8,0,.143,.214,.200,読売ジャイアンツ,打撃成績
*,門脇　誠,57,131,115,11,26,3,1,0,31,3,5,1,6,0,9,0,1,24,2,.226,.270,.288,読売ジャイアンツ,打撃成績
*,キャベッジ,72,277,251,22,60,13,0,8,97,27,3,3,1,1,20,2,4,81,2,.239,.386,.304,読売ジャイアンツ,打撃成績
*,グリフィン,12,22,18,0,3,0,0,0,3,0,0,0,3,0,1,0,0,6,0,.167,.167,.211,読売ジャイアンツ,打撃成績
*,佐々木　俊輔,24,64,56,6,13,2,0,0,15,3,0,1,4,0,4,0,0,12,1,.232,.268,.283,読売ジャイアンツ,打撃成績
*,重信　慎之介,10,3,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,.333,.333,.333,読売ジャイアンツ,打撃成績
*,高梨　雄平,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,読売ジャイアンツ,打撃成績
*,田中　瑛斗,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,読売ジャイアンツ,打撃成績
*,中川　皓太,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,読売ジャイアンツ,打撃成績
*,中山　礼都,61,157,150,14,36,4,0,2,46,9,0,2,1,0,4,0,2,23,3,.240,.307,.269,読売ジャイアンツ,打撃成績
*,バルドナード,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,読売ジャイアンツ,打撃成績
*,船迫　大雅,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,読売ジャイアンツ,打撃成績
*,マルティネス,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,読売ジャイアンツ,打撃成績
*,丸　佳浩,40,167,143,8,39,8,2,2,57,14,3,2,1,0,23,4,0,28,3,.273,.399,.373,読売ジャイアンツ,打撃成績
*,三塚　琉生,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,.000,.000,.000,読売ジャイアンツ,打撃成績
*,山﨑　伊織,16,30,27,1,3,0,0,0,3,0,0,0,2,0,1,0,0,13,0,.111,.111,.143,読売ジャイアンツ,打撃成績
*,山田　龍聖,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,読売ジャイアンツ,打撃成績
*,横川　凱,16,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,.000,.000,.000,読売ジャイアンツ,打撃成績
*,吉川　尚輝,88,379,336,28,92,13,3,3,120,26,7,2,1,3,35,0,4,53,6,.274,.357,.347,読売ジャイアンツ,打撃成績
読売ジャイアンツ||,公式戦(セ・リーグ),：,チーム打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,読売ジャイアンツ,打撃成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,読売ジャイアンツ,打撃成績
*,伊藤　将司,7,14,11,1,0,0,0,0,0,1,0,0,3,0,0,0,0,4,3,.000,.000,.000,阪神タイガース,打撃成績
*,糸原　健斗,46,60,54,0,10,0,0,0,10,3,1,0,0,1,5,1,0,15,1,.185,.185,.250,阪神タイガース,打撃成績
*,伊原　陵人,19,19,19,0,3,0,0,0,3,0,0,0,0,0,0,0,0,5,1,.158,.158,.158,阪神タイガース,打撃成績
*,岩崎　優,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,阪神タイガース,打撃成績
*,岩貞　祐太,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,阪神タイガース,打撃成績
+,植田　海,26,4,4,7,1,1,0,0,2,1,4,0,0,0,0,0,0,2,0,.250,.500,.250,阪神タイガース,打撃成績
*,漆原　大晟,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,阪神タイガース,打撃成績
*,大竹　耕太郎,9,19,18,0,1,0,0,0,1,0,0,0,1,0,0,0,0,9,0,.056,.056,.056,阪神タイガース,打撃成績
*,小幡　竜平,57,202,181,16,45,7,0,3,61,15,4,2,8,3,10,2,0,48,4,.249,.337,.284,阪神タイガース,打撃成績
*,及川　雅貴,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,阪神タイガース,打撃成績
*,木浪　聖也,50,153,135,8,26,5,2,0,35,12,1,1,7,0,8,2,3,34,1,.193,.259,.253,阪神タイガース,打撃成績
*,桐敷　拓馬,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,阪神タイガース,打撃成績
*,楠本　泰史,10,10,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,.000,.000,.100,阪神タイガース,打撃成績
*,工藤　泰成,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,阪神タイガース,打撃成績
*,ゲラ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,阪神タイガース,打撃成績
*,佐藤　輝明,90,385,347,53,100,21,4,26,207,65,8,2,0,1,37,6,0,103,4,.288,.597,.356,阪神タイガース,打撃成績
*,島田　海吏,26,29,25,2,4,0,0,0,4,0,1,2,3,0,1,0,0,1,0,.160,.160,.192,阪神タイガース,打撃成績
