,投　手,登板,勝利,敗北,セ｜ブ,ホ｜ル,ＨＰ,完投,完封勝,無四球,勝率,打者,投球回,,安打,本塁打,四球,故意四,死球,三振,暴投,ボ｜ク,失点,自責点,防御率,球団,成績種別
*,石川　達也,28,4,3,0,1,4,0,0,0,.571,185,45,,39,1,14,2,1,30,0,0,9,7,1.40,読売ジャイアンツ,投手成績
*,井上　温大,15,3,6,0,0,0,0,0,0,.333,363,88,,88,11,12,1,2,84,0,0,35,31,3.17,読売ジャイアンツ,投手成績
*,グリフィン,12,6,0,0,0,0,0,0,0,1.000,275,72,,46,0,16,2,3,72,1,0,7,6,0.75,読売ジャイアンツ,投手成績
*,高梨　雄平,18,0,1,0,5,5,0,0,0,.000,56,11,.1,10,0,10,3,3,13,0,1,4,4,3.18,読売ジャイアンツ,投手成績
*,中川　皓太,40,1,2,0,27,28,0,0,0,.333,141,33,,32,3,7,1,2,39,0,0,8,7,1.91,読売ジャイアンツ,投手成績
*,バルドナード,17,1,0,0,6,7,0,0,0,1.000,47,11,.2,5,0,9,0,0,11,1,0,3,3,2.31,読売ジャイアンツ,投手成績
*,山田　龍聖,2,0,0,0,0,0,0,0,0,.000,15,4,,3,1,1,0,1,1,0,0,2,2,4.50,読売ジャイアンツ,投手成績
*,横川　凱,16,0,0,0,1,1,0,0,0,.000,135,34,.2,29,2,8,0,2,21,0,0,9,9,2.34,読売ジャイアンツ,投手成績
読売ジャイアンツ||,公式戦(セ・リーグ),：,個人打撃|,チーム投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,読売ジャイアンツ,投手成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,読売ジャイアンツ,投手成績
*,伊藤　将司,7,4,0,0,0,0,1,1,0,1.000,159,43,.2,28,1,6,2,0,24,0,0,6,5,1.03,阪神タイガース,投手成績
*,伊原　陵人,19,5,3,0,1,1,0,0,0,.625,312,79,,62,0,17,2,1,60,1,0,18,14,1.59,阪神タイガース,投手成績
*,岩崎　優,37,0,2,22,6,6,0,0,0,.000,144,36,,33,1,6,1,0,27,0,0,9,6,1.50,阪神タイガース,投手成績
*,岩貞　祐太,15,2,1,0,3,5,0,0,0,.667,63,15,,14,0,5,0,0,8,1,0,3,3,1.80,阪神タイガース,投手成績
*,大竹　耕太郎,9,5,1,0,0,0,0,0,0,.833,209,53,.2,46,2,4,1,3,22,0,0,12,12,2.01,阪神タイガース,投手成績
*,及川　雅貴,41,4,3,0,25,29,0,0,0,.571,153,39,.2,23,1,10,3,2,43,1,1,6,4,0.91,阪神タイガース,投手成績
*,桐敷　拓馬,31,1,1,1,11,12,0,0,0,.500,126,27,.2,35,0,6,2,2,24,0,0,9,8,2.60,阪神タイガース,投手成績
*,島本　浩也,9,1,1,0,1,2,0,0,0,.500,35,8,.2,8,0,2,1,1,5,0,0,2,2,2.08,阪神タイガース,投手成績
*,髙橋　遥人,1,0,0,0,0,0,0,0,0,.000,24,6,,4,0,2,0,0,2,0,0,2,1,1.50,阪神タイガース,投手成績
*,富田　蓮,9,1,0,0,0,0,0,0,0,1.000,95,23,.1,26,0,3,0,0,10,2,0,8,8,3.09,阪神タイガース,投手成績
*,門別　啓人,9,2,3,0,0,0,0,0,0,.400,162,37,.2,43,4,13,1,2,25,0,0,18,18,4.30,阪神タイガース,投手成績
阪神タイガース||,公式戦(セ・リーグ),：,個人打撃|,チーム投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,阪神タイガース,投手成績
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,阪神タイガース,投手成績
*,東　克樹,15,10,4,0,0,0,1,0,1,.714,415,105,.1,82,7,13,0,5,83,0,0,26,18,1.54,横浜DeNAベイスターズ,投手成績
*,岩田　将貴,3,0,0,0,0,0,0,0,0,.000,7,1,,2,0,1,0,1,0,0,0,2,2,18.00,横浜DeNAベイスターズ,投手成績
*,ケイ,16,5,6,0,0,0,0,0,0,.455,409,105,.2,77,5,28,2,1,81,0,0,20,20,1.70,横浜DeNAベイスターズ,投手成績
*,坂本　裕哉,16,1,1,0,1,2,0,0,0,.500,75,17,.1,15,2,8,2,0,15,1,0,8,7,3.63,横浜DeNAベイスターズ,投手成績
横浜DeNAベイスターズ||,公式戦(セ・リーグ),：,個人打撃|,チーム投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,横浜DeNAベイスターズ,投手成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,横浜DeNAベイスターズ,投手成績
*,佐藤　柳之介,4,1,0,0,0,0,0,0,0,1.000,70,17,,13,0,8,0,0,11,0,0,4,4,2.12,広島東洋カープ,投手成績
*,高橋　昂也,10,1,0,0,0,1,0,0,0,1.000,53,14,.1,10,0,4,0,0,11,0,0,3,2,1.26,広島東洋カープ,投手成績
*,滝田　一希,4,0,0,0,0,0,0,0,0,.000,19,4,,3,0,5,0,0,3,0,0,2,2,4.50,広島東洋カープ,投手成績
*,玉村　昇悟,14,4,8,0,0,0,0,0,0,.333,302,72,.1,76,2,10,1,3,60,0,0,35,33,4.11,広島東洋カープ,投手成績
*,床田　寛樹,17,7,7,0,0,0,5,3,2,.500,474,119,.1,95,6,29,3,1,67,3,0,31,29,2.19,広島東洋カープ,投手成績
*,ハーン,33,1,2,8,16,17,0,0,0,.333,134,32,,33,2,8,0,2,34,2,0,13,13,3.66,広島東洋カープ,投手成績
*,長谷部　銀次,5,0,0,0,0,0,0,0,0,.000,30,5,.1,9,0,4,0,1,7,0,0,9,9,15.19,広島東洋カープ,投手成績
*,塹江　敦哉,25,0,1,1,8,8,0,0,0,.000,92,19,.2,23,1,6,1,2,27,1,0,10,10,4.58,広島東洋カープ,投手成績
*,森　翔平,14,4,3,0,0,0,1,1,0,.571,342,82,,78,7,22,1,3,59,2,0,28,27,2.96,広島東洋カープ,投手成績
*,森浦　大輔,39,2,2,0,23,25,0,0,0,.500,142,35,,29,1,8,3,2,40,2,0,5,5,1.29,広島東洋カープ,投手成績
広島東洋カープ||,公式戦(セ・リーグ),：,個人打撃|,チーム投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,広島東洋カープ,投手成績
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,広島東洋カープ,投手成績
*,石川　雅規,5,2,3,0,0,0,0,0,0,.400,96,19,.1,31,1,8,1,0,7,0,0,20,17,7.91,東京ヤクルトスワローズ,投手成績
*,荘司　宏太,23,1,0,0,12,13,0,0,0,1.000,89,23,.2,15,0,6,0,2,30,0,0,2,2,0.76,東京ヤクルトスワローズ,投手成績
*,高橋　奎二,6,2,2,0,0,0,0,0,0,.500,141,33,,29,3,13,1,1,31,2,0,11,11,3.00,東京ヤクルトスワローズ,投手成績
*,田口　麗斗,26,1,1,0,8,9,0,0,0,.500,86,19,.2,17,0,8,1,2,17,1,0,9,9,4.12,東京ヤクルトスワローズ,投手成績
