順位	選手名	チーム名	年齢	防御率	登板	勝利	敗戦	セーブ	ホールド	先発	完投	完封	無四球	勝率	投球回	打者	安打	本塁打	与四球	与死球	奪三振	暴投	ボーク	失点	自責点	WHIP
1	上原浩治	巨人	24	2.09	25	20	4	0	0	25	12	1	4	.833	197.2	769	153	12	24	4	179	3	0	49	46	0.90
2	野口茂樹	中日	25	2.65	29	19	7	0	0	29	7	4	0	.731	203.2	870	202	13	67	5	145	6	0	68	60	1.32
3	山本昌	中日	34	2.96	25	8	5	0	0	25	1	0	0	.615	158.1	661	149	16	44	3	116	1	0	55	52	1.22
4	川村丈夫	横浜	27	3000	26	17	6	0	0	26	5	3	2	.739	183.0	743	169	21	43	1	131	1	0	65	61	1.16
5	佐々岡真司	広島	32	3.27	26	15	8	0	0	26	13	5	1	.652	190.0	787	181	17	43	4	150	0	0	73	69	1.18
6	武田一浩	中日	34	3.50	25	9	10	0	0	25	5	3	1	.474	162.0	679	166	17	43	4	92	1	1	65	63	1.29
7	B.ガルベス	巨人	35	3.66	27	9	12	0	0	27	7	2	1	.429	187.0	776	174	19	51	6	106	1	1	85	76	1.20
8	川崎憲次郎	ヤクルト	28	3.85	24	7	11	0	0	24	6	2	0	.389	166.0	705	188	17	41	7	79	6	0	71	71	1.38
9	藪恵壹	阪神	31	3.946	28	6	16	0	0	27	4	2	1	.273	173.1	737	175	16	57	11	95	4	0	80	76	1.34
10	斎藤隆	横浜	29	3.948	26	14	3	0	0	26	5	2	2	.824	184.2	754	178	32	31	6	125	1	1	83	81	1.13
11	桑田真澄	巨人	31	4.07	32	8	9	5	0	22	2	0	0	.471	141.2	608	137	17	57	4	100	6	1	69	64	1.37
12	三浦大輔	横浜	26	4.27	30	9	10	0	0	25	4	3	1	.474	175.0	729	174	22	51	2	130	2	0	92	83	1.29
13	川上憲伸	中日	24	4.44	29	8	9	1	0	25	3	1	1	.471	162.0	695	173	20	43	2	102	3	0	84	80	1.33
14	J.ハッカミー	ヤクルト	29	4.50	26	12	6	0	0	26	0	0	0	.667	140.0	611	149	18	43	5	92	3	0	76	70	1.37
1	工藤公康	ダイエー	36	2.38	26	11	7	0	0	26	7	3	2	.611	196.1	754	143	12	34	1	196	6	1	56	52	0.90
2	黒木知宏	ロッテ	26	2.50	29	14	10	0	0	29	7	0	1	.583	212.2	850	164	14	68	1	171	8	0	67	59	1.09
3	松坂大輔	西武	19	2.60	25	16	5	0	0	24	6	2	0	.762	180.0	743	124	14	87	8	151	5	2	55	52	1.17
4	川越英隆	オリックス	26	2.85	26	11	8	0	0	25	8	2	1	.579	177.0	730	159	14	47	1	134	2	0	75	56	1.16
5	永井智浩	ダイエー	24	3.06	27	10	5	0	0	23	2	2	0	.667	141.0	606	124	12	70	2	98	6	0	54	48	1.38
6	石井貴	西武	28	3.07	26	13	8	0	0	26	4	1	2	.619	178.2	743	177	16	43	1	108	4	4	62	61	1.23
7	若田部健一	ダイエー	30	3.29	26	10	6	0	0	26	3	1	1	.625	158.2	661	153	18	42	8	114	1	1	66	58	1.23
8	西口文也	西武	27	3.41	29	14	10	0	0	27	7	3	0	.583	179.1	732	141	20	55	3	141	3	0	72	68	1.11
9	金田政彦	オリックス	30	3.49	30	11	10	0	0	29	4	1	0	.524	188.0	800	165	13	76	7	116	5	0	84	73	1.28
10	高木晃次	オリックス	31	3.79	27	9	8	0	0	21	4	3	1	.529	145.0	609	157	12	39	5	73	2	0	64	61	1.35
11	岩本ツトム	日本ハム	28	3.81	27	13	11	0	0	27	9	2	0	.542	189.0	831	181	14	93	6	158	4	1	86	80	1.45
12	星野伸之	オリックス	33	3.85	26	11	7	0	0	26	4	1	1	.611	156.2	669	151	16	62	1	96	4	0	77	67	1.36
13	小池秀郎	近鉄	30	4.05	23	6	11	0	0	23	2	0	0	.353	149.0	638	135	19	69	3	96	7	0	69	67	1.37
14	小宮山悟	ロッテ	34	4.07	21	7	10	0	0	21	4	0	2	.412	141.2	593	158	19	15	1	96	3	0	74	64	1.22
15	関根裕之	日本ハム	28	4.34	24	12	8	0	0	24	3	1	0	.600	139.0	589	142	28	36	4	78	0	0	73	67	1.28
16	岡本晃	近鉄	26	4.79	27	9	12	0	0	27	5	1	0	.429	159.2	708	187	19	50	10	88	3	1	92	85	1.48
